Label,Key,R,G,B,T
13103,wm_lh_G_and_S_paracentral,63,100,60,1
13104,wm_lh_G_and_S_subcentral,63,20,220,1
13105,wm_lh_G_and_S_transv_frontopol,13,0,250,1
13106,wm_lh_G_and_S_cingul-Ant,26,60,0,1
13107,wm_lh_G_and_S_cingul-Mid-Ant,26,60,75,1
13108,wm_lh_G_and_S_cingul-Mid-Post,26,60,150,1
13109,wm_lh_G_cingul-Post-dorsal,25,60,250,1
13110,wm_lh_G_cingul-Post-ventral,60,25,25,1
13111,wm_lh_G_cuneus,180,20,20,1
13112,wm_lh_G_front_inf-Opercular,220,20,100,1
13113,wm_lh_G_front_inf-Orbital,140,60,60,1
13114,wm_lh_G_front_inf-Triangul,180,220,140,1
13115,wm_lh_G_front_middle,140,100,180,1
13116,wm_lh_G_front_sup,180,20,140,1
13117,wm_lh_G_Ins_lg_and_S_cent_ins,23,10,10,1
13118,wm_lh_G_insular_short,225,140,140,1
13119,wm_lh_G_occipital_middle,180,60,180,1
13120,wm_lh_G_occipital_sup,20,220,60,1
13121,wm_lh_G_oc-temp_lat-fusifor,60,20,140,1
13122,wm_lh_G_oc-temp_med-Lingual,220,180,140,1
13123,wm_lh_G_oc-temp_med-Parahip,65,100,20,1
13124,wm_lh_G_orbital,220,60,20,1
13125,wm_lh_G_pariet_inf-Angular,20,60,220,1
13126,wm_lh_G_pariet_inf-Supramar,100,100,60,1
13127,wm_lh_G_parietal_sup,220,180,220,1
13128,wm_lh_G_postcentral,20,180,140,1
13129,wm_lh_G_precentral,60,140,180,1
13130,wm_lh_G_precuneus,25,20,140,1
13131,wm_lh_G_rectus,20,60,100,1
13132,wm_lh_G_subcallosal,60,220,20,1
13133,wm_lh_G_temp_sup-G_T_transv,60,60,220,1
13134,wm_lh_G_temp_sup-Lateral,220,60,220,1
13135,wm_lh_G_temp_sup-Plan_polar,65,220,60,1
13136,wm_lh_G_temp_sup-Plan_tempo,25,140,20,1
13137,wm_lh_G_temporal_inf,220,220,100,1
13138,wm_lh_G_temporal_middle,180,60,60,1
13139,wm_lh_Lat_Fis-ant-Horizont,61,20,220,1
13140,wm_lh_Lat_Fis-ant-Vertical,61,20,60,1
13141,wm_lh_Lat_Fis-post,61,60,100,1
13142,wm_lh_Medial_wall,25,25,25,1
13143,wm_lh_Pole_occipital,140,20,60,1
13144,wm_lh_Pole_temporal,220,180,20,1
13145,wm_lh_S_calcarine,63,180,180,1
13146,wm_lh_S_central,221,20,10,1
13147,wm_lh_S_cingul-Marginalis,221,20,100,1
13148,wm_lh_S_circular_insula_ant,221,60,140,1
13149,wm_lh_S_circular_insula_inf,221,20,220,1
13150,wm_lh_S_circular_insula_sup,61,220,220,1
13151,wm_lh_S_collat_transv_ant,100,200,200,1
13152,wm_lh_S_collat_transv_post,10,200,200,1
13153,wm_lh_S_front_inf,221,220,20,1
13154,wm_lh_S_front_middle,141,20,100,1
13155,wm_lh_S_front_sup,61,220,100,1
13156,wm_lh_S_interm_prim-Jensen,141,60,20,1
13157,wm_lh_S_intrapariet_and_P_trans,143,20,220,1
13158,wm_lh_S_oc_middle_and_Lunatus,101,60,220,1
13159,wm_lh_S_oc_sup_and_transversal,21,20,140,1
13160,wm_lh_S_occipital_ant,61,20,180,1
13161,wm_lh_S_oc-temp_lat,221,140,20,1
13162,wm_lh_S_oc-temp_med_and_Lingual,141,100,220,1
13163,wm_lh_S_orbital_lateral,221,100,20,1
13164,wm_lh_S_orbital_med-olfact,181,200,20,1
13165,wm_lh_S_orbital-H_Shaped,101,20,20,1
13166,wm_lh_S_parieto_occipital,101,100,180,1
13167,wm_lh_S_pericallosal,181,220,20,1
13168,wm_lh_S_postcentral,21,140,200,1
13169,wm_lh_S_precentral-inf-part,21,20,240,1
13170,wm_lh_S_precentral-sup-part,21,20,200,1
13171,wm_lh_S_suborbital,21,20,60,1
13172,wm_lh_S_subparietal,101,60,60,1
13173,wm_lh_S_temporal_inf,21,180,180,1
13174,wm_lh_S_temporal_sup,223,220,60,1
13175,wm_lh_S_temporal_transverse,221,60,60,1
14100,wm_rh_Unknown,0,0,0,1
14101,wm_rh_G_and_S_frontomargin,23,220,60,1
14102,wm_rh_G_and_S_occipital_inf,23,60,180,1
14103,wm_rh_G_and_S_paracentral,63,100,60,1
14104,wm_rh_G_and_S_subcentral,63,20,220,1
14105,wm_rh_G_and_S_transv_frontopol,13,0,250,1
14106,wm_rh_G_and_S_cingul-Ant,26,60,0,1
14107,wm_rh_G_and_S_cingul-Mid-Ant,26,60,75,1
14108,wm_rh_G_and_S_cingul-Mid-Post,26,60,150,1
14109,wm_rh_G_cingul-Post-dorsal,25,60,250,1
14110,wm_rh_G_cingul-Post-ventral,60,25,25,1
14111,wm_rh_G_cuneus,180,20,20,1
14112,wm_rh_G_front_inf-Opercular,220,20,100,1
14113,wm_rh_G_front_inf-Orbital,140,60,60,1
14114,wm_rh_G_front_inf-Triangul,180,220,140,1
14115,wm_rh_G_front_middle,140,100,180,1
14116,wm_rh_G_front_sup,180,20,140,1
14117,wm_rh_G_Ins_lg_and_S_cent_ins,23,10,10,1
14118,wm_rh_G_insular_short,225,140,140,1
14119,wm_rh_G_occipital_middle,180,60,180,1
14120,wm_rh_G_occipital_sup,20,220,60,1
14121,wm_rh_G_oc-temp_lat-fusifor,60,20,140,1
14122,wm_rh_G_oc-temp_med-Lingual,220,180,140,1
14123,wm_rh_G_oc-temp_med-Parahip,65,100,20,1
14124,wm_rh_G_orbital,220,60,20,1
14125,wm_rh_G_pariet_inf-Angular,20,60,220,1
14126,wm_rh_G_pariet_inf-Supramar,100,100,60,1
14127,wm_rh_G_parietal_sup,220,180,220,1
14128,wm_rh_G_postcentral,20,180,140,1
14129,wm_rh_G_precentral,60,140,180,1
14130,wm_rh_G_precuneus,25,20,140,1
14131,wm_rh_G_rectus,20,60,100,1
14132,wm_rh_G_subcallosal,60,220,20,1
14133,wm_rh_G_temp_sup-G_T_transv,60,60,220,1
14134,wm_rh_G_temp_sup-Lateral,220,60,220,1
14135,wm_rh_G_temp_sup-Plan_polar,65,220,60,1
14136,wm_rh_G_temp_sup-Plan_tempo,25,140,20,1
14137,wm_rh_G_temporal_inf,220,220,100,1
14138,wm_rh_G_temporal_middle,180,60,60,1
14139,wm_rh_Lat_Fis-ant-Horizont,61,20,220,1
14140,wm_rh_Lat_Fis-ant-Vertical,61,20,60,1
14141,wm_rh_Lat_Fis-post,61,60,100,1
14142,wm_rh_Medial_wall,25,25,25,1
14143,wm_rh_Pole_occipital,140,20,60,1
14144,wm_rh_Pole_temporal,220,180,20,1
14145,wm_rh_S_calcarine,63,180,180,1
14146,wm_rh_S_central,221,20,10,1
14147,wm_rh_S_cingul-Marginalis,221,20,100,1
14148,wm_rh_S_circular_insula_ant,221,60,140,1
14149,wm_rh_S_circular_insula_inf,221,20,220,1
14150,wm_rh_S_circular_insula_sup,61,220,220,1
14151,wm_rh_S_collat_transv_ant,100,200,200,1
14152,wm_rh_S_collat_transv_post,10,200,200,1
14153,wm_rh_S_front_inf,221,220,20,1
14154,wm_rh_S_front_middle,141,20,100,1
14155,wm_rh_S_front_sup,61,220,100,1
14156,wm_rh_S_interm_prim-Jensen,141,60,20,1
14157,wm_rh_S_intrapariet_and_P_trans,143,20,220,1
14158,wm_rh_S_oc_middle_and_Lunatus,101,60,220,1
14159,wm_rh_S_oc_sup_and_transversal,21,20,140,1
14160,wm_rh_S_occipital_ant,61,20,180,1
14161,wm_rh_S_oc-temp_lat,221,140,20,1
14162,wm_rh_S_oc-temp_med_and_Lingual,141,100,220,1
14163,wm_rh_S_orbital_lateral,221,100,20,1
14164,wm_rh_S_orbital_med-olfact,181,200,20,1
14165,wm_rh_S_orbital-H_Shaped,101,20,20,1
14166,wm_rh_S_parieto_occipital,101,100,180,1
14167,wm_rh_S_pericallosal,181,220,20,1
14168,wm_rh_S_postcentral,21,140,200,1
14169,wm_rh_S_precentral-inf-part,21,20,240,1
14170,wm_rh_S_precentral-sup-part,21,20,200,1
14171,wm_rh_S_suborbital,21,20,60,1
14172,wm_rh_S_subparietal,101,60,60,1
14173,wm_rh_S_temporal_inf,21,180,180,1
14174,wm_rh_S_temporal_sup,223,220,60,1
14175,wm_rh_S_temporal_transverse,221,60,60,1
