Label,Key,R,G,B,T
672,Cbm_Left_7mid,3,255,237,1
673,Cbm_Left_7lat,204,255,255,1
674,Cbm_Left_8med,86,74,147,1
675,Cbm_Left_8mid,114,114,190,1
676,Cbm_Left_8lat,184,178,255,1
677,Cbm_Left_PUNs,126,138,37,1
678,Cbm_Left_TONs,189,197,117,1
679,Cbm_Left_FLOs,240,230,140,1
690,CbmWM_Gyri_Left,122,135,50,1
691,CbmWM_Gyri_Right,122,135,50,1
701,CSF-FSL-FAST,120,18,134,1
702,GrayMatter-FSL-FAST,205,62,78,1
703,WhiteMatter-FSL-FAST,0,225,0,1
801,L_hypothalamus_anterior_inferior,250,255,50,1
802,L_hypothalamus_anterior_superior,80,200,255,1
803,L_hypothalamus_posterior,255,160,0,1
804,L_hypothalamus_tubular_inferior,255,160,200,1
805,L_hypothalamus_tubular_superior,20,180,130,1
806,R_hypothalamus_anterior_inferior,250,255,50,1
807,R_hypothalamus_anterior_superior,80,200,255,1
808,R_hypothalamus_posterior,255,160,0,1
809,R_hypothalamus_tubular_inferior,255,160,200,1
810,R_hypothalamus_tubular_superior,20,180,130,1
999,SUSPICIOUS,255,100,100,1
1000,ctx-lh-unknown,25,5,25,1
1001,ctx-lh-bankssts,25,100,40,1
1002,ctx-lh-caudalanteriorcingulate,125,100,160,1
1003,ctx-lh-caudalmiddlefrontal,100,25,0,1
1004,ctx-lh-corpuscallosum,120,70,50,1
1005,ctx-lh-cuneus,220,20,100,1
1006,ctx-lh-entorhinal,220,20,10,1
1007,ctx-lh-fusiform,180,220,140,1
1008,ctx-lh-inferiorparietal,220,60,220,1
1009,ctx-lh-inferiortemporal,180,40,120,1
1010,ctx-lh-isthmuscingulate,140,20,140,1
1011,ctx-lh-lateraloccipital,20,30,140,1
1012,ctx-lh-lateralorbitofrontal,35,75,50,1
1013,ctx-lh-lingual,225,140,140,1
1014,ctx-lh-medialorbitofrontal,200,35,75,1
1015,ctx-lh-middletemporal,160,100,50,1
1016,ctx-lh-parahippocampal,20,220,60,1
1017,ctx-lh-paracentral,60,220,60,1
1018,ctx-lh-parsopercularis,220,180,140,1
1019,ctx-lh-parsorbitalis,20,100,50,1
1020,ctx-lh-parstriangularis,220,60,20,1
1021,ctx-lh-pericalcarine,120,100,60,1
1022,ctx-lh-postcentral,220,20,20,1
1023,ctx-lh-posteriorcingulate,220,180,220,1
1024,ctx-lh-precentral,60,20,220,1
1025,ctx-lh-precuneus,160,140,180,1
1026,ctx-lh-rostralanteriorcingulate,80,20,140,1
1027,ctx-lh-rostralmiddlefrontal,75,50,125,1
1028,ctx-lh-superiorfrontal,20,220,160,1
1029,ctx-lh-superiorparietal,20,180,140,1
1030,ctx-lh-superiortemporal,140,220,220,1
1031,ctx-lh-supramarginal,80,160,20,1
1032,ctx-lh-frontalpole,100,0,100,1
1033,ctx-lh-temporalpole,70,70,70,1
1034,ctx-lh-transversetemporal,150,150,200,1
1035,ctx-lh-insula,255,192,32,1
2000,ctx-rh-unknown,25,5,25,1
2001,ctx-rh-bankssts,25,100,40,1
